distribution,size,Heapsort,Quicksort,Merge Sort
Random,100,0.0787,0.0558,0.0922
Random,500,0.5212,0.3437,0.5253
Random,1000,2.4757,1.4617,2.7778
Random,5000,7.7192,4.0772,6.5553
Random,10000,16.2196,8.5202,13.4571
Sorted,100,0.0833,0.059,0.068
Sorted,500,0.5481,0.2989,0.3855
Sorted,1000,1.2163,0.6904,0.7895
Sorted,5000,7.5677,3.7165,4.2299
Sorted,10000,16.3623,8.0206,8.8402
Reverse-Sorted,100,0.0675,0.0512,0.0745
Reverse-Sorted,500,0.4544,0.3028,0.3767
Reverse-Sorted,1000,1.0929,0.674,0.808
Reverse-Sorted,5000,6.8485,3.8431,4.4603
Reverse-Sorted,10000,14.863,8.0602,9.339
Repeated,100,0.0657,0.0902,0.0809
Repeated,500,0.4166,1.4178,0.4902
Repeated,1000,0.9411,5.0454,1.0364
Repeated,5000,5.7913,114.7681,5.796
Repeated,10000,12.6063,452.5437,12.0538
